region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales,Cars,BEV,2011,sales,49
Australia,Historical,EV sales,Cars,BEV,2012,sales,173
Australia,Historical,EV sales,Cars,PHEV,2012,sales,80
Australia,Historical,EV sales,Cars,PHEV,2013,sales,102
Australia,Historical,EV sales,Cars,BEV,2013,sales,191
Australia,Historical,EV sales,Cars,BEV,2014,sales,371
Australia,Historical,EV sales,Cars,PHEV,2014,sales,951
Australia,Historical,EV sales,Cars,PHEV,2015,sales,1012
Australia,Historical,EV sales,Cars,BEV,2015,sales,759
Australia,Historical,EV sales,Cars,BEV,2016,sales,668
Australia,Historical,EV sales,Cars,PHEV,2016,sales,701
Australia,Historical,EV sales,Cars,PHEV,2017,sales,1076
Australia,Historical,EV sales,Cars,BEV,2017,sales,1208
Australia,Historical,EV sales,Cars,BEV,2018,sales,1803
Australia,Historical,EV sales,Cars,PHEV,2018,sales,1802
Australia,Historical,EV sales,Cars,PHEV,2019,sales,2877
Australia,Historical,EV sales,Cars,BEV,2019,sales,6283
Australia,Historical,EV sales,Cars,BEV,2020,sales,5238
Australia,Historical,EV sales,Cars,PHEV,2020,sales,1700
Australia,Historical,EV sales,Cars,PHEV,2021,sales,3400
Australia,Historical,EV sales,Cars,BEV,2021,sales,17300
Belgium,Historical,EV sales,Cars,BEV,2010,sales,35
Belgium,Historical,EV sales,Cars,BEV,2011,sales,281
Belgium,Historical,EV sales,Cars,PHEV,2011,sales,16
Belgium,Historical,EV sales,Cars,PHEV,2012,sales,263
Belgium,Historical,EV sales,Cars,BEV,2012,sales,1007
Belgium,Historical,EV sales,Cars,BEV,2013,sales,613
Belgium,Historical,EV sales,Cars,PHEV,2013,sales,60
Belgium,Historical,EV sales,Cars,PHEV,2014,sales,652
Belgium,Historical,EV sales,Cars,BEV,2014,sales,1448
Belgium,Historical,EV sales,Cars,BEV,2015,sales,1685
Belgium,Historical,EV sales,Cars,PHEV,2015,sales,2170
Belgium,Historical,EV sales,Cars,PHEV,2016,sales,7124
Belgium,Historical,EV sales,Cars,BEV,2016,sales,2292
Belgium,Historical,EV sales,Cars,BEV,2017,sales,3040
Belgium,Historical,EV sales,Cars,PHEV,2017,sales,11651
Belgium,Historical,EV sales,Cars,PHEV,2018,sales,9440
Belgium,Historical,EV sales,Cars,BEV,2018,sales,4168
Belgium,Historical,EV sales,Cars,BEV,2019,sales,8947
Belgium,Historical,EV sales,Cars,PHEV,2019,sales,8830
Belgium,Historical,EV sales,Cars,PHEV,2020,sales,33005
Belgium,Historical,EV sales,Cars,BEV,2020,sales,15071
Belgium,Historical,EV sales,Cars,BEV,2021,sales,22229
Belgium,Historical,EV sales,Cars,PHEV,2021,sales,48451
Brazil,Historical,EV sales,Cars,BEV,2012,sales,73.5999984741211
Brazil,Historical,EV sales,Cars,PHEV,2012,sales,18.399999618530273
Brazil,Historical,EV sales,Cars,PHEV,2013,sales,33.400001525878906
Brazil,Historical,EV sales,Cars,BEV,2013,sales,133.60000610351562
Brazil,Historical,EV sales,Cars,BEV,2014,sales,61
Brazil,Historical,EV sales,Cars,BEV,2015,sales,59
Brazil,Historical,EV sales,Cars,PHEV,2015,sales,28
Brazil,Historical,EV sales,Cars,PHEV,2016,sales,47
Brazil,Historical,EV sales,Cars,BEV,2016,sales,126
Brazil,Historical,EV sales,Cars,BEV,2017,sales,28
Brazil,Historical,EV sales,Cars,PHEV,2017,sales,288
Brazil,Historical,EV sales,Cars,PHEV,2018,sales,234
Brazil,Historical,EV sales,Cars,BEV,2018,sales,71
Brazil,Historical,EV sales,Cars,BEV,2019,sales,538
Brazil,Historical,EV sales,Cars,PHEV,2019,sales,1373
Brazil,Historical,EV sales,Cars,PHEV,2020,sales,1769
Brazil,Historical,EV sales,Cars,BEV,2020,sales,683
Brazil,Historical,EV sales,Cars,BEV,2021,sales,2041
Brazil,Historical,EV sales,Cars,PHEV,2021,sales,5213
Canada,Historical,EV sales,Cars,BEV,2011,sales,220
Canada,Historical,EV sales,Cars,PHEV,2011,sales,300
Canada,Historical,EV sales,Cars,PHEV,2012,sales,1400
Canada,Historical,EV sales,Cars,BEV,2012,sales,620
Canada,Historical,EV sales,Cars,BEV,2013,sales,1640
