Variable:,pr
Country:,Sweden
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,48.01,22.05,38.59,8.30,40.03,33.68,80.14,114.44,57.21,51.65,17.95,29.50
1902,38.71,36.94,37.68,46.10,32.49,45.86,75.49,122.89,50.30,68.83,30.86,32.45
1903,35.27,37.83,23.12,38.86,50.80,52.17,33.06,88.03,38.56,46.98,37.99,44.00
1904,32.52,22.35,29.18,36.85,31.17,40.81,78.57,90.46,60.83,58.85,41.28,20.04
1905,43.15,35.23,43.49,28.25,65.12,43.72,55.57,65.38,27.70,37.11,57.95,36.02
1906,46.19,34.29,28.06,32.41,41.81,70.84,83.50,110.82,36.65,52.98,26.44,41.67
1907,35.45,43.06,32.72,23.28,35.42,55.63,62.64,63.63,52.40,20.90,36.39,32.61
1908,36.85,16.06,53.60,30.66,37.35,39.71,80.05,93.09,58.80,89.45,35.29,65.89
1909,48.58,40.66,22.81,46.89,47.22,54.01,70.20,46.21,48.39,35.79,86.96,35.87
1910,34.73,40.13,19.01,43.06,15.21,50.00,52.77,48.60,61.26,65.93,61.89,37.79
1911,21.85,27.26,41.65,18.16,48.61,76.51,28.95,126.87,56.04,61.57,69.18,79.37
1912,19.93,24.89,36.85,28.94,25.81,46.16,92.65,75.97,32.11,36.45,58.92,54.52
1913,37.51,31.04,39.29,32.16,43.67,39.38,55.28,41.51,54.24,22.53,36.57,64.34
1914,40.72,31.66,18.77,29.68,43.32,25.41,124.24,55.55,61.21,12.68,68.84,48.25
1915,48.56,25.65,36.45,38.69,49.86,57.33,73.61,60.19,38.84,74.20,68.36,59.76
1916,19.77,19.59,24.50,33.43,20.75,47.12,59.18,69.91,61.68,77.53,58.51,40.02
1917,48.99,27.79,15.59,26.92,16.79,66.81,58.94,62.86,101.76,38.00,36.51,48.70
1918,42.29,22.67,25.95,41.25,25.39,83.27,59.13,77.97,72.59,35.85,39.72,43.91
1919,55.75,48.27,36.90,55.48,50.62,48.04,96.02,85.60,56.98,15.63,27.69,24.00
1920,63.39,19.49,32.90,28.28,38.99,74.76,72.80,119.05,42.06,59.11,28.11,59.10
1921,29.18,28.01,34.10,36.20,39.88,73.48,73.58,84.43,54.17,20.11,34.86,45.07
1922,45.99,16.71,13.34,22.07,56.45,53.41,61.80,94.19,91.06,81.62,56.36,31.64
1923,36.13,28.58,37.43,32.26,67.48,71.60,62.96,76.66,86.45,63.70,35.73,42.92
1924,46.82,40.07,26.38,30.01,40.62,47.56,82.30,68.39,62.83,53.14,40.25,61.99
1925,31.26,34.41,29.65,32.98,69.81,51.71,58.61,62.46,57.17,59.62,66.93,41.50
1926,62.08,33.83,44.32,38.06,55.56,86.99,76.30,85.65,86.78,79.71,30.83,20.46
