Variable:,tas
Country:,Sweden
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-7.81,-11.79,-5.83,0.90,6.83,12.40,17.16,13.72,9.18,5.91,-5.11,-10.36
1902,-8.49,-9.84,-7.31,-1.60,3.67,9.49,10.68,10.29,6.21,0.47,-3.84,-8.47
1903,-9.40,-4.15,-1.10,-0.43,6.05,10.60,12.39,11.20,8.12,-0.36,-3.92,-5.68
1904,-5.52,-11.60,-5.95,1.09,4.84,10.42,12.56,11.47,8.06,3.06,-5.78,-9.42
1905,-9.71,-6.77,-3.95,-1.46,6.52,13.12,13.86,11.50,7.44,-1.03,-3.80,-4.86
1906,-6.65,-6.95,-6.50,1.72,6.78,11.81,13.89,11.41,7.80,3.03,-1.70,-7.90
1907,-9.55,-6.77,-2.68,0.74,4.50,10.97,12.10,9.85,7.02,5.35,-1.47,-8.93
1908,-7.31,-6.74,-6.04,0.33,5.08,10.31,13.70,12.69,7.42,4.25,-5.95,-5.74
1909,-5.51,-9.38,-7.15,-1.81,3.23,10.78,12.88,11.62,7.81,4.93,-6.98,-7.38
1910,-8.28,-3.91,-2.59,1.17,7.02,11.67,12.97,11.98,8.24,2.45,-4.64,-6.67
1911,-6.97,-7.27,-3.87,0.50,7.76,10.48,13.00,13.78,8.66,1.11,-3.78,-4.00
1912,-12.48,-10.80,-2.92,-0.37,5.57,11.75,15.10,12.53,6.46,0.82,-3.96,-5.42
1913,-10.75,-5.91,-3.10,1.52,6.78,11.19,14.20,12.14,8.19,2.25,-0.57,-8.50
1914,-8.46,-4.88,-4.78,2.39,5.76,12.03,16.87,12.49,8.28,1.87,-3.68,-4.93
1915,-11.14,-7.99,-7.85,0.39,4.51,9.45,13.71,11.80,6.58,0.59,-5.88,-14.69
1916,-7.55,-7.37,-7.19,0.77,5.16,10.31,15.18,10.93,6.59,0.24,-1.19,-6.99
