Date,SE1,SE2,SE3,SE4
2019-01-01,22.58,22.58,22.58,22.58
2019-01-02,42.65,42.65,42.65,42.65
2019-01-03,51.9,51.9,57.05,57.11
2019-01-04,50.85,50.85,51.0,51.07
2019-01-05,50.72,50.72,50.72,51.1
2019-01-06,51.02,51.02,51.16,51.98
2019-01-07,51.19,51.19,51.95,56.21
2019-01-08,49.5,49.5,49.5,49.5
2019-01-09,50.07,50.07,50.07,50.07
2019-01-10,50.1,50.1,59.51,64.64
2019-01-11,48.43,48.43,49.49,49.49
2019-01-12,48.24,48.24,48.24,48.24
2019-01-13,47.95,47.95,47.95,47.95
2019-01-14,43.9,43.9,43.9,43.9
2019-01-15,50.22,50.22,50.34,50.34
2019-01-16,52.15,52.15,52.15,52.15
2019-01-17,51.96,51.96,52.25,52.25
2019-01-18,54.21,54.21,61.17,61.76
2019-01-19,55.04,55.04,55.04,55.27
2019-01-20,55.05,55.05,55.05,55.05
2019-01-21,68.84,68.84,68.84,68.84
2019-01-22,62.93,62.93,62.93,62.93
2019-01-23,68.1,68.1,68.1,69.52
2019-01-24,77.84,77.84,79.12,79.45
2019-01-25,65.26,65.26,65.26,66.54
2019-01-26,54.07,54.07,54.07,54.07
2019-01-27,52.17,52.17,52.17,52.17
2019-01-28,56.04,56.04,56.2,56.29
2019-01-29,60.66,60.66,61.56,61.56
2019-01-30,57.96,57.96,57.99,57.99
2019-01-31,56.92,56.92,57.35,59.52
2019-02-01,54.1,54.1,54.1,55.11
2019-02-02,51.05,51.05,51.05,51.05
2019-02-03,50.18,50.18,50.18,50.18
2019-02-04,53.63,53.63,53.85,53.85
2019-02-05,52.38,52.38,52.38,52.38
2019-02-06,52.0,52.0,53.52,53.52
2019-02-07,49.72,49.72,49.72,49.76
2019-02-08,48.67,48.67,48.67,48.67
2019-02-09,47.05,47.05,47.05,47.05
2019-02-10,45.51,45.51,45.51,45.51
2019-02-11,46.97,46.97,46.97,46.97
2019-02-12,46.51,46.51,48.03,48.73
2019-02-13,45.27,45.27,45.61,45.81
2019-02-14,43.8,43.8,44.76,47.37
2019-02-15,43.49,43.49,43.67,46.0
2019-02-16,39.84,39.84,39.84,39.84
2019-02-17,41.45,41.45,41.45,41.49
2019-02-18,43.7,43.7,43.72,45.49
2019-02-19,41.58,41.58,41.58,41.65
2019-02-20,42.41,42.41,42.51,42.51
2019-02-21,43.76,43.76,44.29,44.64
2019-02-22,42.51,42.51,45.25,46.94
2019-02-23,39.59,39.59,39.59,39.59
2019-02-24,38.26,38.26,38.26,38.26
2019-02-25,40.35,40.35,41.03,41.57
2019-02-26,41.22,41.22,41.46,43.88
2019-02-27,40.3,40.3,41.03,41.74
2019-02-28,40.0,40.0,40.16,40.84
2019-03-01,43.61,43.61,45.17,46.32
2019-03-02,41.1,41.1,41.1,41.1
2019-03-03,40.13,40.13,40.13,40.13
