name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lulea,2021-01-01,-0.2,-4.4,-2.2,-3.4,-8.4,-6.2,-2.8,96,2.19,100,87.5,"rain,snow",,,21.7,14.5,223.6,1012.3,82.6,6.2,0.1,0,0,,2021-01-01T09:49:18,2021-01-01T13:21:06,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02188099999,02173099999,02171099999,02186099999,02191099999,ESPA"
Lulea,2021-01-02,-5.9,-13,-9.8,-5.9,-18.2,-12.6,-10.7,93.1,0,0,0,,,,21.4,13.1,321.8,1019.2,49.6,20.7,0.9,0,0,,2021-01-02T09:47:43,2021-01-02T13:23:39,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02188099999,02173099999,02171099999,02186099999,02191099999,02176099999,ESPA"
Lulea,2021-01-03,-8.3,-12,-10.8,-8.3,-17.4,-14.5,-11.8,91.9,0,0,0,,,,14.7,11.1,310,1027.9,9.5,23.1,1,0,0,,2021-01-03T09:46:01,2021-01-03T13:26:18,0.6,Clear,Clear conditions throughout the day.,clear-day,"02188099999,02173099999,02171099999,02186099999,02191099999,ESPA"
Lulea,2021-01-04,-11,-17.1,-13.8,-12,-22.3,-16.3,-15.1,90,0,0,0,,,,14.5,8.5,329.3,1033.3,0.4,25.6,1,0,0,,2021-01-04T09:44:10,2021-01-04T13:29:05,0.65,Clear,Clear conditions throughout the day.,clear-day,"02188099999,02173099999,02171099999,02186099999,02191099999,ESPA"
Lulea,2021-01-05,-6.1,-17.6,-11.4,-8,-21.5,-13.6,-12.6,90.3,0.54,100,66.67,snow,,,14.2,16.4,308.3,1032.6,99,7.9,0.8,0,0,,2021-01-05T09:42:12,2021-01-05T13:31:58,0.7,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"02188099999,02173099999,SBPQ,02171099999,02186099999,02191099999,02176099999,ESPA"
Lulea,2021-01-06,-6.9,-8.3,-7.7,-6.9,-11.5,-8.4,-8.4,94.7,0.04,100,16.67,snow,,,14.3,7.3,216.1,1029.5,97.2,12.3,1,0,0,,2021-01-06T09:40:08,2021-01-06T13:34:57,0.76,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"02188099999,02173099999,02171099999,02186099999,02191099999,ESPA"
Lulea,2021-01-07,-5.2,-8.9,-7.4,-6.1,-13.5,-10,-8.1,94.3,1.64,100,45.83,snow,,,18.2,11.5,84,1024.3,98.5,12.1,0.7,0,0,,2021-01-07T09:37:57,2021-01-07T13:38:01,0.82,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"02188099999,02173099999,02171099999,02186099999,02191099999,ESPA"
Lulea,2021-01-08,-6.9,-8.1,-7.7,-6.9,-13.1,-11.2,-8.6,93.6,0.29,100,41.67,snow,,,14.7,11.1,295.8,1021.9,99.6,15.6,1.1,0,0,,2021-01-08T09:35:40,2021-01-08T13:41:10,0.87,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"02188099999,02173099999,SBPT,02171099999,02186099999,02191099999,02176099999,ESPA,SDIA"
Lulea,2021-01-09,-2.2,-7.8,-4.7,-6,-13,-7.6,-5.4,95.1,1.97,100,45.83,snow,,,32.4,24.6,183.9,1020.6,99.8,8.3,0.8,0,0,,2021-01-09T09:33:17,2021-01-09T13:44:24,0.92,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"02188099999,02173099999,02171099999,02186099999,02191099999,02176099999,ESPA"
Lulea,2021-01-10,-2.9,-11.9,-6.8,-9.2,-19,-13.4,-7.8,92,2.82,100,50,snow,,,35.7,28.9,97.2,1012.5,99.4,11.1,0.8,0,0,,2021-01-10T09:30:49,2021-01-10T13:47:42,0.96,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"02188099999,02173099999,02171099999,02186099999,02191099999,02176099999,ESPA"
