name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sundsvall,2021-01-01,2.3,0.3,1.2,1.4,-3.4,-1.5,0.2,92.8,6.77,100,62.5,"rain,snow",,,25.1,25.2,141.6,1010.9,86.3,16.2,1.9,0.2,0,,2021-01-01T09:18:09,2021-01-01T14:31:01,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-02,0.3,-3.6,-1.5,-2.5,-7.7,-4.7,-3.3,87.7,0.77,100,29.17,"rain,snow",,,27.9,12.5,285.6,1019.2,91.2,32.4,4,0.4,0,,2021-01-02T09:17:21,2021-01-02T14:32:46,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-03,-3.1,-6.3,-4.6,-7.5,-12.9,-10.5,-6.9,84,0,0,0,,,,26.4,22.3,321,1029.1,67.6,34.9,6.3,0.6,0,,2021-01-03T09:16:27,2021-01-03T14:34:36,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-04,-6.1,-10.5,-7.5,-11,-15.1,-12.9,-9.5,86.2,0.03,100,4.17,snow,,,17.5,21.5,306.2,1034.6,20.2,34.9,7.7,0.6,1,,2021-01-04T09:15:28,2021-01-04T14:36:31,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-05,-10.4,-13.2,-11.7,-14.3,-18.4,-16.3,-13.5,86.2,0,0,0,,,,14.4,10.2,294.2,1033.5,17.6,33,8.6,0.6,1,,2021-01-05T09:14:22,2021-01-05T14:38:32,0.7,Clear,Clear conditions throughout the day.,clear-day,"02355099999,02368099999,02259099999,02343099999,02366099999,02347099999,ESNK,ESNN,02382099999"
Sundsvall,2021-01-06,-6.3,-13.3,-11.1,-10.8,-20.9,-16.8,-12.8,87.3,0.23,100,12.5,snow,,,18.2,16.4,308,1028.6,84.6,23.8,5.3,0.4,0,,2021-01-06T09:13:11,2021-01-06T14:40:37,0.76,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-07,-3.9,-5.6,-4.8,-8.9,-11.1,-10.5,-6.5,87.6,2.34,100,95.83,snow,,,16.7,19.6,318.3,1020.5,94.1,15.1,4.7,0.4,0,,2021-01-07T09:11:55,2021-01-07T14:42:46,0.82,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-08,-3.3,-4.1,-3.7,-5.9,-9,-7.1,-4.9,91.1,2.7,100,50,snow,,,17.2,14.1,303.5,1020.2,85.9,19.7,4.3,0.4,0,,2021-01-08T09:10:33,2021-01-08T14:45:00,0.87,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"02355099999,02368099999,02259099999,02343099999,02366099999,02347099999,ESNK,ESNN,02382099999"
Sundsvall,2021-01-09,-0.7,-4.6,-3.1,-4.1,-8.3,-6,-5.4,83.9,0.04,100,8.33,snow,,,39.7,26.7,223.5,1019.9,94.9,26,6.8,0.6,0,,2021-01-09T09:09:06,2021-01-09T14:47:18,0.92,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-10,-0.7,-9.7,-4.2,-2.8,-13.7,-7.3,-5.8,88.4,0.74,100,37.5,"rain,snow",,,39.2,23.7,233.4,1008.8,59,21.1,6.9,0.6,1,,2021-01-10T09:07:35,2021-01-10T14:49:40,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-11,0.2,-12.4,-6,-6.7,-17.5,-12,-7.1,92.1,7.58,100,58.33,"rain,snow",,,68.1,50.2,229.2,1002.6,44.3,18.8,3.3,0.3,0,,2021-01-11T09:05:58,2021-01-11T14:52:06,0.99,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02355099999,02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-12,0.8,-10,-2.3,-4.4,-13.3,-7.3,-3,94.9,11.64,100,62.5,"rain,snow",,,65.1,45,165.3,989.8,52.9,13.9,10.4,0.9,1,,2021-01-12T09:04:17,2021-01-12T14:54:34,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02355099999,02368099999,02259099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-13,-2.1,-9.4,-6.9,-6.9,-18.1,-14,-8.7,87.3,1.36,100,54.17,snow,,,42.1,28.4,255.6,1015.6,79,13.4,1.7,0,0,,2021-01-13T09:02:31,2021-01-13T14:57:06,0,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"02355099999,02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-14,-9.4,-15.5,-13.2,-17.9,-24.9,-21.6,-15.7,81.2,0.15,100,12.5,snow,,,21.5,27.5,321.9,1027.6,56.2,28.1,9.9,0.8,1,,2021-01-14T09:00:42,2021-01-14T14:59:41,0.01,"Snow, Partially cloudy",Clearing in the afternoon with a chance of snow throughout the day.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-15,-7,-15.8,-10.2,-14.2,-21.5,-16.8,-12.5,83.4,0,0,0,,,,27,23.7,302.8,1025.3,33.4,33.9,10.2,0.9,1,,2021-01-15T08:58:48,2021-01-15T15:02:19,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-16,-5.9,-10.5,-7.6,-7.6,-15.4,-12,-9.6,85.8,0,0,0,,,,24.6,24.2,277.6,1022.1,49.2,34.8,11.7,1.1,1,,2021-01-16T08:56:50,2021-01-16T15:04:59,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-17,-5.8,-14.7,-9.7,-7.6,-20.1,-12.9,-11.6,85.6,0,0,0,,,,35.5,13.5,278.2,1016.2,33.7,34.2,11.4,1,1,,2021-01-17T08:54:48,2021-01-17T15:07:42,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02355099999,02368099999,02259099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-18,-15.2,-19,-17,-20.3,-24.9,-22.8,-19,84.3,0.13,100,8.33,snow,,,19.5,13.5,277.4,1010.9,6.4,34,12.7,1.1,1,,2021-01-18T08:52:43,2021-01-18T15:10:27,0.14,Snow,Clear conditions throughout the day with snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-19,-8.7,-19.5,-15.4,-12.6,-26.3,-21.7,-17.4,84.6,0.97,100,33.33,snow,,,18.3,15.5,307.5,1008.7,63.7,23.4,8.6,0.7,1,,2021-01-19T08:50:35,2021-01-19T15:13:13,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-20,-1.8,-7.6,-3.6,-5.6,-10.7,-7.5,-5.8,85.1,4.04,100,79.17,"rain,snow",,,43.8,18.4,172.4,1004.3,81,16.6,8.5,0.8,1,,2021-01-20T08:48:23,2021-01-20T15:16:02,0.23,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-21,1.7,-1.9,-0.4,-2.4,-7.9,-6.2,-1.2,94.7,17.77,100,95.83,"rain,snow",,,58.4,31.1,103.8,989.7,57.7,4.7,2.5,0.2,0,,2021-01-21T08:46:08,2021-01-21T15:18:52,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-22,2.8,0.7,1.8,-1.5,-5.6,-3.2,0.7,91.9,9.81,100,50,"rain,snow",,,60.5,33,129.4,979.9,89.4,20,3.8,0.3,0,,2021-01-22T08:43:50,2021-01-22T15:21:44,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-23,2.1,-2.1,0.4,1,-4.4,-1.9,-0.4,94.7,2.58,100,37.5,"rain,snow",,,57,26,176.5,983.8,71.3,19.4,15,1.3,1,,2021-01-23T08:41:29,2021-01-23T15:24:37,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02355099999,02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-24,-1.1,-2.7,-1.7,-1.4,-6,-4.1,-2.9,91.6,0.02,100,4.17,"rain,snow",,,24.9,10.4,70.3,996,86.1,15.6,15.5,1.3,1,,2021-01-24T08:39:05,2021-01-24T15:27:32,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-25,-2.1,-4.7,-3.2,-2.7,-10.7,-8.3,-5.2,86,0.28,100,16.67,snow,,,42,25.9,311.5,1000.6,85.6,30,7,0.6,0,,2021-01-25T08:36:38,2021-01-25T15:30:27,0.44,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-26,-5.6,-11.7,-8.6,-11.3,-17.8,-14.5,-10.8,84.4,0,0,0,,,,31.6,19.4,311.8,1006.5,14.1,34.8,17.5,1.5,1,,2021-01-26T08:34:09,2021-01-26T15:33:24,0.47,Clear,Clear conditions throughout the day.,clear-day,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-27,-6.8,-13.4,-10.2,-12.5,-20,-16.6,-12.5,83.3,0,0,0,,,,35.6,19.4,304.5,1007.2,42.5,34.2,19.4,1.6,1,,2021-01-27T08:31:38,2021-01-27T15:36:21,0.49,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-28,-7,-10.5,-8.3,-12.1,-16.4,-13.5,-10.7,83.1,0,0,0,,,,24.5,14.4,318.3,1006.2,88,32.5,17.4,1.5,1,,2021-01-28T08:29:04,2021-01-28T15:39:19,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-29,-10,-15.4,-12.1,-15.4,-21.3,-18.4,-14.2,84.2,0.52,100,8.33,snow,,,20.9,18,304.5,1004.8,59.9,21.9,19.3,1.7,1,,2021-01-29T08:26:28,2021-01-29T15:42:17,0.51,"Snow, Partially cloudy",Clearing in the afternoon with late afternoon snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
Sundsvall,2021-01-30,-11,-16.8,-14,-17.9,-25.9,-21.9,-16.6,80.6,0.59,100,4.17,snow,,,41.8,20.6,309.3,998.6,29.3,30,22.5,1.8,1,,2021-01-30T08:23:49,2021-01-30T15:45:16,0.52,"Snow, Partially cloudy",Becoming cloudy in the afternoon with morning snow.,snow,"02368099999,02343099999,02366099999,02347099999,ESNN,02382099999"
