name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sweden,2018-10-01,11.8,6.8,8.9,11.8,6,8.1,6.3,84.4,4.03,100,8.33,rain,,,15.2,11.8,238,1006.3,5.4,18.1,66,5.7,3,,2018-10-01T06:52:15,2018-10-01T18:21:22,0.7,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-02,9.7,3.9,7.3,8.3,3.9,6.3,5.3,87.2,1.98,100,25,rain,,,16.8,15.6,206.5,1000.4,14.4,18.9,53.1,4.7,2,,2018-10-02T06:54:33,2018-10-02T18:18:25,0.76,Rain,Clear conditions throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-03,9.5,5.1,7.1,6.7,2.8,4.7,3.7,80.1,3.88,100,29.17,rain,,,41.2,24,306.3,1001.2,7.5,25.3,51.3,4.3,3,,2018-10-03T06:56:52,2018-10-03T18:15:29,0.82,Rain,Clear conditions throughout the day with rain clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-04,8.9,2.2,5.7,7.3,-0.2,4,1.8,77.2,0.02,100,4.17,rain,,,17.1,14.4,251.9,1015.1,5,28.6,52.9,4.5,4,,2018-10-04T06:59:11,2018-10-04T18:12:33,0.87,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-05,16,8.4,12.2,16,6.4,11.9,6.8,71.4,0.06,100,4.17,rain,,,29.2,25,231,1008.4,8,28.3,68.3,5.9,4,,2018-10-05T07:01:31,2018-10-05T18:09:38,0.92,Rain,Clear conditions throughout the day with morning rain.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-06,11.3,8.9,9.9,11.3,6.9,9.1,4.8,71.1,0.04,100,8.33,rain,,,18,16.3,248.9,1007.7,8.8,27.7,44,3.8,2,,2018-10-06T07:03:51,2018-10-06T18:06:43,0.96,Rain,Clear conditions throughout the day with rain clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-07,9.6,4.6,7.5,8.7,3.6,6.3,2.4,71.1,0.34,100,25,rain,,,20.4,16.4,295.3,1012.8,4.5,28.3,67.5,5.9,4,,2018-10-07T07:06:11,2018-10-07T18:03:48,0.99,Rain,Clear conditions throughout the day with rain clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-08,11.7,3.7,8.1,11.7,2.7,6.5,5,81.3,0.89,100,20.83,rain,,,27.2,23.1,207.9,1013.4,8.6,27.9,24.6,2,1,,2018-10-08T07:08:31,2018-10-08T18:00:54,1,Rain,Clear conditions throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-09,15.1,10.9,13.3,15.1,10.9,13.3,9.8,80.2,0.21,100,8.33,rain,,,39.2,24.3,222.7,1010.4,11.8,27.5,30.2,2.5,1,,2018-10-09T07:10:52,2018-10-09T17:58:00,0,Rain,Clear conditions throughout the day with early morning rain.,rain,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
sweden,2018-10-10,15.5,13.8,14.3,15.5,13.8,14.3,10,75.9,0,0,0,,,,33.3,28.7,244,1019,11.9,22.5,50.3,4.3,3,,2018-10-10T07:13:13,2018-10-10T17:55:07,0.01,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,C8398,02484099999,ESSB"
