Date,temp,precip,windspeed
2018-10-01,8.9,4.03,11.8
2018-10-02,7.3,1.98,15.6
2018-10-03,7.1,3.88,24.0
2018-10-04,5.7,0.02,14.4
2018-10-05,12.2,0.06,25.0
2018-10-06,9.9,0.04,16.3
2018-10-07,7.5,0.34,16.4
2018-10-08,8.1,0.89,23.1
2018-10-09,13.3,0.21,24.3
2018-10-10,14.3,0.0,28.7
2018-10-11,11.6,0.0,19.5
2018-10-12,12.1,0.0,17.3
2018-10-13,13.9,0.0,13.8
2018-10-14,14.1,0.0,21.3
2018-10-15,13.5,0.0,19.0
2018-10-16,10.6,0.0,12.2
2018-10-17,11.9,0.04,10.9
2018-10-18,12.0,0.67,21.9
2018-10-19,7.1,0.0,6.2
2018-10-20,7.7,1.26,11.2
2018-10-21,8.2,0.0,18.7
2018-10-22,10.3,0.08,29.5
2018-10-23,6.0,2.01,25.0
2018-10-24,4.8,0.11,31.5
2018-10-25,4.5,0.0,15.3
2018-10-26,2.2,0.0,11.3
2018-10-27,2.3,0.8,26.2
2018-10-28,1.4,0.02,17.8
2018-10-29,2.4,0.34,24.4
2018-10-30,5.9,12.76,33.4
2018-10-31,9.5,1.06,31.5
2018-11-01,7.6,0.0,21.3
2018-11-02,9.4,0.0,16.0
2018-11-03,8.3,0.0,19.0
2018-11-04,5.8,0.0,15.4
2018-11-05,7.8,0.08,10.7
2018-11-06,8.4,0.08,22.3
2018-11-07,7.3,0.0,14.2
2018-11-08,7.8,0.02,10.0
2018-11-09,7.8,4.83,8.0
2018-11-10,7.3,3.32,18.2
2018-11-11,7.9,1.75,23.3
2018-11-12,8.4,2.47,22.4
2018-11-13,7.9,4.6,12.3
2018-11-14,7.8,0.0,13.8
2018-11-15,7.8,0.02,13.6
2018-11-16,7.8,0.0,14.5
2018-11-17,5.9,0.0,13.0
2018-11-18,4.8,0.0,19.8
2018-11-19,2.0,0.28,15.1
2018-11-20,0.9,0.16,10.6
2018-11-21,1.5,0.51,10.8
2018-11-22,-0.8,0.0,20.2
2018-11-23,-2.7,0.0,13.6
2018-11-24,-1.5,0.28,13.2
2018-11-25,-1.6,0.0,10.1
2018-11-26,0.2,0.0,14.5
2018-11-27,-3.3,0.0,12.0
2018-11-28,-3.2,0.02,8.9
2018-11-29,2.7,1.92,31.9
2018-11-30,3.5,13.24,29.7
2018-12-01,2.7,8.13,23.2
2018-12-02,4.7,0.2,25.4
2018-12-03,5.4,4.94,25.4
2018-12-04,5.0,2.66,29.3
2018-12-05,0.6,0.1,29.2
2018-12-06,1.3,0.0,9.8
2018-12-07,2.9,3.86,18.5
2018-12-08,5.2,6.03,18.3
2018-12-09,5.3,4.57,16.6
2018-12-10,0.5,1.39,13.1
2018-12-11,3.1,1.16,17.8
2018-12-12,0.8,0.09,17.8
2018-12-13,-0.1,0.6,12.7
2018-12-14,-1.7,0.02,11.1
2018-12-15,-2.7,0.02,7.2
2018-12-16,0.3,4.27,16.3
2018-12-17,-0.9,1.45,8.4
2018-12-18,-0.6,0.2,9.1
2018-12-19,0.9,0.79,21.3
2018-12-20,0.9,0.81,27.1
2018-12-21,-1.4,0.02,17.5
2018-12-22,-2.4,0.6,11.0
2018-12-23,-4.8,0.87,14.6
2018-12-24,-5.4,0.0,12.7
2018-12-25,1.2,1.11,15.0
2018-12-26,3.3,0.29,19.2
2018-12-27,1.1,0.0,7.6
2018-12-28,0.2,0.0,8.4
2018-12-29,-0.9,0.0,15.0
2018-12-30,-0.2,0.0,12.9
2018-12-31,-0.4,0.0,20.5
2019-01-01,3.9,0.46,34.5
2019-01-02,-1.1,0.29,46.6
2019-01-03,-2.7,0.69,12.9
2019-01-04,2.7,1.64,18.5
2019-01-05,0.8,0.17,15.6
2019-01-06,0.8,0.12,9.9
2019-01-07,1.8,0.0,9.5
2019-01-08,1.2,2.43,19.3
2019-01-09,0.4,0.48,21.2
2019-01-10,-2.0,0.0,17.7
2019-01-11,1.9,0.14,29.0
2019-01-12,-0.1,0.0,24.3
2019-01-13,-1.8,0.82,14.7
2019-01-14,-3.0,0.0,33.4
2019-01-15,-2.8,0.0,33.7
2019-01-16,-3.3,8.93,21.0
2019-01-17,-2.5,0.18,26.7
2019-01-18,-5.1,0.0,20.7
2019-01-19,-3.7,0.0,24.4
2019-01-20,-5.1,0.0,19.9
2019-01-21,-6.8,0.0,7.4
2019-01-22,-0.6,0.38,12.0
2019-01-23,-1.6,0.02,7.0
2019-01-24,-4.5,0.0,3.6
2019-01-25,-3.2,2.37,6.0
2019-01-26,-4.8,0.02,10.4
2019-01-27,-5.2,0.63,22.2
2019-01-28,-1.2,3.21,25.2
2019-01-29,0.2,0.76,14.5
2019-01-30,-5.5,0.58,14.9
2019-01-31,-2.4,0.86,14.9
2019-02-01,-0.6,7.12,22.5
2019-02-02,0.7,2.68,17.0
2019-02-03,-4.2,7.81,26.0
2019-02-04,-6.6,1.67,10.1
2019-02-05,0.4,2.86,20.7
2019-02-06,-5.3,0.87,18.7
2019-02-07,1.4,3.73,22.9
2019-02-08,2.9,1.22,24.3
2019-02-09,3.1,4.96,20.9
2019-02-10,4.2,1.25,23.8
2019-02-11,1.2,0.3,23.1
2019-02-12,-0.9,0.37,23.5
2019-02-13,4.3,1.24,23.3
2019-02-14,4.2,0.0,29.8
2019-02-15,5.1,0.0,20.5
2019-02-16,5.9,0.0,25.3
2019-02-17,2.6,0.0,8.6
2019-02-18,3.4,0.0,22.2
2019-02-19,4.8,0.8,15.9
2019-02-20,1.1,0.02,27.6
2019-02-21,-2.2,0.02,17.8
2019-02-22,-3.0,0.0,15.5
2019-02-23,2.3,0.0,22.2
2019-02-24,4.7,0.0,28.2
2019-02-25,5.8,0.0,23.5
2019-02-26,6.8,0.0,24.9
2019-02-27,6.5,0.0,18.7
2019-02-28,3.5,0.0,31.5
2019-03-01,-1.0,0.0,12.6
2019-03-02,2.0,0.0,28.0
2019-03-03,0.9,4.1,11.8
2019-03-04,0.3,1.88,19.6
2019-03-05,-3.0,0.2,25.7
2019-03-06,-3.3,0.54,14.4
2019-03-07,2.6,8.36,24.4
2019-03-08,2.8,2.73,34.9
2019-03-09,1.0,1.59,27.7
2019-03-10,-2.1,0.05,26.8
2019-03-11,-3.5,0.0,28.4
2019-03-12,-3.6,0.0,13.8
2019-03-13,1.2,3.83,29.2
2019-03-14,3.1,1.22,18.0
2019-03-15,1.9,3.89,13.5
2019-03-16,1.1,0.4,20.2
2019-03-17,3.0,5.4,29.3
2019-03-18,2.7,4.55,21.7
2019-03-19,1.5,0.07,20.9
