Date,temp,precip,windspeed
2019-01-01,-1.8,4.48,25.8
2019-01-02,-10.3,0.0,22.1
2019-01-03,-10.2,4.69,19.8
2019-01-04,-5.4,0.0,6.2
2019-01-05,-8.4,0.0,11.0
2019-01-06,-9.1,0.0,3.8
2019-01-07,-0.7,0.0,29.0
2019-01-08,-9.3,0.0,9.6
2019-01-09,-7.2,0.0,21.9
2019-01-10,-2.9,0.01,32.0
2019-01-11,1.9,0.0,41.5
2019-01-12,-2.4,0.0,36.5
2019-01-13,-7.7,6.73,17.0
2019-01-14,-6.1,12.95,18.5
2019-01-15,-11.2,0.19,15.8
2019-01-16,-18.4,0.01,14.1
2019-01-17,-21.6,0.0,13.5
2019-01-18,-19.2,0.09,14.6
2019-01-19,-23.6,0.01,13.9
2019-01-20,-19.3,0.0,14.6
2019-01-21,-21.5,0.0,9.6
2019-01-22,-20.9,0.0,6.2
2019-01-23,-19.0,0.01,7.5
2019-01-24,-20.1,1.82,8.9
2019-01-25,-17.8,3.87,7.6
2019-01-26,-19.1,2.15,7.7
2019-01-27,-21.2,0.31,6.3
2019-01-28,-17.5,2.73,10.2
2019-01-29,-12.2,9.94,7.5
2019-01-30,-16.9,0.12,13.5
2019-01-31,-24.5,0.38,8.8
2019-02-01,-21.6,0.42,10.9
2019-02-02,-16.6,1.47,10.2
2019-02-03,-17.0,0.43,16.4
2019-02-04,-14.2,12.11,18.1
2019-02-05,-22.3,0.0,16.0
2019-02-06,-25.8,0.0,6.2
2019-02-07,-16.5,2.31,17.0
2019-02-08,-10.5,4.49,17.1
2019-02-09,-11.1,3.5,14.6
2019-02-10,-8.6,1.93,17.1
2019-02-11,-11.7,0.0,6.3
2019-02-12,-8.7,0.28,19.4
2019-02-13,-10.5,3.0,12.5
2019-02-14,-4.0,1.01,44.1
2019-02-15,4.4,0.0,48.9
2019-02-16,3.4,0.0,51.1
2019-02-17,-2.7,0.0,58.2
2019-02-18,-1.7,10.23,30.7
2019-02-19,-4.2,0.11,14.7
2019-02-20,-9.2,3.08,33.9
2019-02-21,-17.9,0.0,12.1
2019-02-22,-10.4,1.57,21.3
2019-02-23,5.3,0.0,24.3
2019-02-24,4.8,0.19,36.5
2019-02-25,4.2,1.45,43.8
2019-02-26,1.5,1.05,17.1
2019-02-27,3.7,0.0,25.8
2019-02-28,-4.7,0.1,25.6
2019-03-01,-7.5,0.0,17.1
2019-03-02,-7.9,8.62,24.2
2019-03-03,-16.7,0.01,11.1
2019-03-04,-12.6,0.0,10.8
2019-03-05,-13.7,0.0,22.9
2019-03-06,-5.6,0.0,22.4
2019-03-07,-7.1,0.0,13.7
2019-03-08,-6.4,10.96,19.5
2019-03-09,-6.1,6.36,24.5
2019-03-10,-6.1,8.59,20.5
2019-03-11,-6.8,0.0,21.0
2019-03-12,-10.6,0.0,19.6
2019-03-13,-10.2,0.02,18.4
2019-03-14,-2.4,4.55,31.9
2019-03-15,0.0,2.45,31.9
2019-03-16,-0.2,6.22,11.0
2019-03-17,-2.5,4.67,11.1
2019-03-18,-0.6,9.11,18.2
2019-03-19,-3.8,0.0,19.6
2019-03-20,-4.4,0.87,19.5
2019-03-21,-1.6,0.0,44.0
2019-03-22,1.0,0.57,34.0
2019-03-23,3.2,0.5,32.0
2019-03-24,3.5,0.0,50.6
2019-03-25,-1.5,0.0,23.3
2019-03-26,-4.3,0.0,20.8
2019-03-27,0.6,0.67,32.7
2019-03-28,4.7,0.04,23.8
2019-03-29,5.6,0.0,49.1
2019-03-30,2.4,0.0,37.4
2019-03-31,0.0,0.01,27.9
2019-04-01,0.5,0.39,19.6
2019-04-02,3.0,0.0,23.1
2019-04-03,1.0,0.0,24.6
2019-04-04,1.2,1.0,19.3
2019-04-05,-0.7,0.0,12.2
2019-04-06,-0.3,0.0,11.5
2019-04-07,-0.5,0.0,24.6
2019-04-08,-1.0,0.0,24.7
2019-04-09,-1.5,0.19,26.8
2019-04-10,-2.4,0.0,18.3
2019-04-11,-2.3,0.0,21.8
2019-04-12,1.2,0.0,21.8
2019-04-13,2.8,0.0,17.9
2019-04-14,3.0,0.0,14.5
2019-04-15,2.8,0.0,12.4
2019-04-16,2.1,0.0,11.0
2019-04-17,3.1,0.0,12.5
2019-04-18,2.2,0.0,17.9
2019-04-19,6.8,1.16,14.5
2019-04-20,6.3,0.29,12.1
2019-04-21,6.0,0.22,14.8
2019-04-22,5.7,0.0,13.6
2019-04-23,9.6,0.0,14.6
2019-04-24,7.8,0.0,9.9
2019-04-25,5.5,0.0,8.5
2019-04-26,8.0,0.0,13.6
2019-04-27,7.5,0.0,17.2
2019-04-28,2.6,0.0,15.0
2019-04-29,5.5,0.0,13.5
2019-04-30,6.9,0.0,19.4
2019-05-01,3.9,0.3,15.3
2019-05-02,1.1,0.0,22.2
2019-05-03,0.0,0.0,27.8
2019-05-04,0.5,0.28,21.0
2019-05-05,0.7,2.37,16.0
2019-05-06,2.4,1.15,16.7
2019-05-07,5.1,1.19,30.6
2019-05-08,3.0,4.4,24.7
2019-05-09,5.1,0.0,23.4
2019-05-10,8.1,1.39,22.5
2019-05-11,7.7,1.79,11.1
2019-05-12,7.2,50.5,34.1
2019-05-13,4.0,16.8,29.4
2019-05-14,6.6,0.0,22.9
2019-05-15,6.6,0.0,18.1
2019-05-16,8.1,0.0,18.1
2019-05-17,11.2,0.0,18.1
2019-05-18,11.2,0.0,19.7
2019-05-19,12.6,0.0,18.0
2019-05-20,12.6,0.61,11.1
2019-05-21,13.9,0.0,14.6
2019-05-22,10.2,0.4,15.8
2019-05-23,6.6,0.0,17.3
2019-05-24,6.0,5.76,16.2
2019-05-25,6.4,1.86,11.0
2019-05-26,9.0,2.93,11.4
2019-05-27,8.8,0.0,19.3
2019-05-28,8.5,3.31,18.5
2019-05-29,8.7,2.68,26.4
2019-05-30,8.1,2.54,33.4
2019-05-31,7.2,16.83,48.4
2019-06-01,10.7,0.0,29.2
2019-06-02,10.0,0.02,25.1
2019-06-03,8.2,22.02,30.4
2019-06-04,9.7,0.26,12.9
2019-06-05,12.5,0.0,12.0
2019-06-06,15.0,0.0,14.6
2019-06-07,16.5,0.0,18.2
2019-06-08,16.3,0.98,27.0
2019-06-09,13.9,2.37,31.9
2019-06-10,14.7,0.11,35.0
2019-06-11,8.7,0.0,19.4
2019-06-12,9.4,0.0,24.4
2019-06-13,12.2,0.0,14.6
2019-06-14,16.3,0.0,14.4
2019-06-15,16.8,0.0,17.1
2019-06-16,17.9,0.0,17.1
2019-06-17,16.8,1.28,8.5
2019-06-18,18.8,0.2,25.4
2019-06-19,15.8,0.0,18.1
2019-06-20,15.1,0.63,14.6
2019-06-21,15.7,19.39,16.5
2019-06-22,12.0,46.66,45.5
2019-06-23,12.7,2.61,26.8
2019-06-24,12.7,6.78,16.0
2019-06-25,13.9,0.09,22.9
2019-06-26,13.7,0.0,22.1
2019-06-27,14.9,0.01,34.8
2019-06-28,13.5,0.0,27.0
2019-06-29,14.9,0.68,35.4
2019-06-30,10.9,0.2,24.6
2019-07-01,13.0,6.22,27.1
2019-07-02,13.4,0.0,22.4
2019-07-03,13.7,0.0,20.7
2019-07-04,12.8,0.0,24.3
2019-07-05,13.7,1.27,16.6
2019-07-06,11.3,6.86,19.3
2019-07-07,13.2,0.48,15.8
2019-07-08,15.3,0.0,19.9
2019-07-09,16.5,0.0,13.5
2019-07-10,14.5,0.0,18.3
2019-07-11,12.8,0.0,14.5
2019-07-12,15.6,0.0,13.4
2019-07-13,13.3,0.0,22.8
2019-07-14,12.8,4.58,11.9
2019-07-15,12.8,6.23,11.1
2019-07-16,13.7,0.01,12.0
2019-07-17,13.9,0.1,10.0
2019-07-18,15.1,0.0,14.5
2019-07-19,15.8,0.0,13.5
2019-07-20,17.5,0.0,19.4
2019-07-21,18.7,0.0,20.9
2019-07-22,20.4,0.0,18.1
2019-07-23,20.2,0.0,18.1
2019-07-24,20.2,0.0,14.6
2019-07-25,22.1,0.0,15.6
2019-07-26,24.1,0.0,19.5
2019-07-27,25.2,0.0,13.5
2019-07-28,18.4,0.0,22.7
2019-07-29,12.3,0.2,24.4
2019-07-30,11.7,0.0,23.5
2019-07-31,11.6,0.0,19.7
2019-08-01,14.9,0.0,12.0
2019-08-02,13.1,0.0,17.2
2019-08-03,11.4,0.0,13.5
2019-08-04,13.3,0.0,17.1
2019-08-05,14.2,0.0,17.0
2019-08-06,12.7,0.0,16.6
2019-08-07,13.0,0.38,12.6
2019-08-08,14.0,0.38,13.6
2019-08-09,13.7,0.09,12.0
2019-08-10,13.5,0.0,20.3
2019-08-11,15.2,0.49,18.0
2019-08-12,15.3,7.36,18.2
2019-08-13,15.4,0.38,19.3
2019-08-14,15.5,37.55,18.0
2019-08-15,15.2,9.4,11.0
2019-08-16,15.1,0.01,19.3
2019-08-17,16.3,0.0,28.0
2019-08-18,15.6,4.11,40.1
2019-08-19,15.3,31.06,35.3
2019-08-20,15.4,0.0,26.7
2019-08-21,15.9,0.19,19.6
2019-08-22,14.2,0.19,18.1
2019-08-23,12.3,15.33,19.5
2019-08-24,14.2,0.29,21.8
2019-08-25,14.8,3.35,22.5
2019-08-26,15.8,0.0,31.7
2019-08-27,16.9,0.0,19.5
2019-08-28,16.1,0.0,16.0
2019-08-29,17.5,0.0,24.3
2019-08-30,16.1,13.25,22.0
2019-08-31,15.5,0.0,20.9
2019-09-01,15.6,1.63,28.0
2019-09-02,15.5,13.23,24.0
2019-09-03,11.8,0.0,24.5
2019-09-04,11.3,0.02,13.5
2019-09-05,10.5,9.15,42.0
2019-09-06,12.2,0.0,23.1
2019-09-07,9.7,9.35,15.7
2019-09-08,10.5,0.6,13.5
2019-09-09,9.5,0.0,13.4
2019-09-10,11.3,0.19,13.5
2019-09-11,14.5,0.96,20.8
2019-09-12,14.3,4.2,25.1
2019-09-13,9.6,4.45,27.9
2019-09-14,8.5,0.0,18.1
2019-09-15,7.8,16.43,24.6
2019-09-16,6.8,0.0,20.9
2019-09-17,7.0,1.39,17.1
2019-09-18,6.2,8.66,11.0
2019-09-19,5.3,3.52,24.3
2019-09-20,4.2,0.0,17.0
2019-09-21,4.1,0.0,18.1
2019-09-22,4.6,0.0,18.1
2019-09-23,3.5,0.0,10.5
2019-09-24,3.3,0.0,10.9
2019-09-25,4.9,0.0,11.1
2019-09-26,8.6,0.0,10.9
2019-09-27,9.6,0.0,10.0
2019-09-28,8.4,0.0,14.8
2019-09-29,8.8,7.92,14.7
2019-09-30,6.5,3.62,15.7
2019-10-01,7.9,12.4,23.7
2019-10-02,4.6,0.01,25.8
2019-10-03,1.5,0.0,14.7
2019-10-04,2.3,0.0,17.1
2019-10-05,3.0,0.0,20.8
2019-10-06,5.1,0.0,18.1
2019-10-07,4.9,0.27,17.1
2019-10-08,2.4,2.58,19.8
2019-10-09,0.9,0.0,20.9
2019-10-10,0.8,2.63,11.1
2019-10-11,2.5,4.13,13.2
2019-10-12,0.2,0.0,19.4
2019-10-13,0.3,0.0,15.6
2019-10-14,-0.9,0.0,20.8
2019-10-15,-2.5,0.0,11.1
