Date,temp,precip,windspeed
2019-01-01,-1.3,4.64,45.9
2019-01-02,-3.2,0.0,45.1
2019-01-03,-5.6,0.84,21.5
2019-01-04,3.5,2.32,16.7
2019-01-05,-0.4,0.13,6.5
2019-01-06,-0.7,0.03,10.9
2019-01-07,-1.4,0.13,19.4
2019-01-08,-1.3,2.22,19.9
2019-01-09,-2.0,0.0,23.9
2019-01-10,-3.9,0.25,13.0
2019-01-11,3.7,0.08,46.1
2019-01-12,-1.3,0.0,34.2
2019-01-13,-4.7,0.23,25.3
2019-01-14,-4.0,0.24,37.7
2019-01-15,-6.3,0.0,31.5
2019-01-16,-11.1,3.02,13.2
2019-01-17,-7.8,2.75,22.9
2019-01-18,-11.4,0.0,9.5
2019-01-19,-9.1,0.0,36.4
2019-01-20,-11.0,0.0,13.2
2019-01-21,-16.4,0.05,8.2
2019-01-22,-12.3,0.18,6.4
2019-01-23,-7.5,0.86,13.2
2019-01-24,-4.0,1.42,22.0
2019-01-25,-5.8,0.56,12.1
2019-01-26,-5.8,2.78,20.9
2019-01-27,-9.3,2.2,21.1
2019-01-28,-5.1,2.9,22.6
2019-01-29,-7.9,5.38,21.2
2019-01-30,-13.7,0.44,21.8
2019-01-31,-11.1,0.05,5.5
2019-02-01,-6.8,1.14,28.6
2019-02-02,-8.4,3.94,27.0
2019-02-03,-10.0,3.73,30.3
2019-02-04,-15.0,0.08,17.5
2019-02-05,-13.6,0.8,17.1
2019-02-06,-15.5,0.94,9.7
2019-02-07,-9.1,0.41,8.4
2019-02-08,-2.0,4.55,20.8
2019-02-09,-3.7,7.98,11.5
2019-02-10,-0.2,1.79,13.4
2019-02-11,-4.2,0.0,21.3
2019-02-12,-3.8,0.0,16.6
2019-02-13,-0.1,0.06,33.2
2019-02-14,1.3,0.04,16.1
2019-02-15,2.1,0.0,13.1
2019-02-16,0.1,0.0,18.1
2019-02-17,0.6,0.0,21.8
2019-02-18,0.6,0.0,23.6
2019-02-19,-2.6,0.0,7.9
2019-02-20,-3.6,0.0,44.5
2019-02-21,-7.3,0.0,12.7
2019-02-22,-1.8,0.1,18.1
2019-02-23,-1.0,0.06,8.1
2019-02-24,3.7,0.0,29.5
2019-02-25,6.0,0.0,40.1
2019-02-26,5.5,0.02,41.5
2019-02-27,4.2,0.0,32.6
2019-02-28,1.9,0.02,34.0
2019-03-01,-1.4,0.0,15.2
2019-03-02,1.2,0.21,22.8
2019-03-03,-5.0,1.39,18.7
2019-03-04,-4.2,0.54,18.0
2019-03-05,-8.9,0.07,23.0
2019-03-06,-11.9,0.13,10.2
2019-03-07,-4.9,2.57,17.6
2019-03-08,-1.5,6.63,23.1
2019-03-09,-8.0,0.02,12.6
2019-03-10,-8.7,0.24,24.1
2019-03-11,-6.3,0.0,32.7
2019-03-12,-7.8,0.0,18.0
2019-03-13,-1.8,1.46,29.8
2019-03-14,0.4,1.09,20.1
2019-03-15,-1.8,0.33,11.5
2019-03-16,0.1,1.52,11.8
2019-03-17,0.0,4.3,24.8
2019-03-18,-0.4,0.83,22.1
2019-03-19,-1.7,0.0,20.2
2019-03-20,0.2,0.47,20.1
2019-03-21,2.8,0.0,32.2
2019-03-22,2.1,0.0,26.1
2019-03-23,6.6,0.0,25.1
2019-03-24,4.1,0.0,29.7
2019-03-25,1.7,0.0,28.4
2019-03-26,0.2,0.02,22.2
2019-03-27,3.3,0.0,23.4
2019-03-28,3.8,0.0,13.0
2019-03-29,5.5,0.17,26.9
2019-03-30,2.4,0.0,12.2
2019-03-31,2.5,0.05,34.9
2019-04-01,2.3,0.0,18.0
2019-04-02,1.5,0.0,26.7
2019-04-03,0.6,0.0,17.3
2019-04-04,1.7,2.61,9.7
2019-04-05,0.5,2.41,19.2
2019-04-06,1.6,4.65,17.3
2019-04-07,1.5,0.89,22.5
2019-04-08,0.6,0.21,38.2
2019-04-09,-0.2,0.0,31.4
2019-04-10,-0.8,0.0,25.6
2019-04-11,-1.5,0.0,18.0
2019-04-12,-0.3,0.0,19.7
2019-04-13,0.4,0.0,16.6
2019-04-14,1.8,0.0,17.7
2019-04-15,2.1,0.0,17.4
2019-04-16,2.9,0.0,19.3
2019-04-17,6.0,0.0,15.0
2019-04-18,8.5,0.0,16.5
2019-04-19,7.6,0.0,17.5
2019-04-20,7.6,0.0,21.8
2019-04-21,4.8,0.06,9.4
2019-04-22,6.0,0.0,16.3
2019-04-23,9.1,0.0,24.0
2019-04-24,7.4,0.0,23.1
2019-04-25,6.8,0.0,19.1
2019-04-26,7.6,0.0,12.3
2019-04-27,9.3,0.0,29.0
2019-04-28,6.6,0.0,19.5
2019-04-29,8.4,0.0,21.6
2019-04-30,7.2,0.06,20.5
2019-05-01,5.7,0.33,23.0
2019-05-02,1.5,18.49,22.1
2019-05-03,-0.2,0.02,26.2
2019-05-04,2.4,0.23,17.0
2019-05-05,3.8,0.25,21.2
2019-05-06,3.6,1.02,17.4
2019-05-07,4.0,5.35,19.2
2019-05-08,4.9,0.09,19.2
2019-05-09,5.0,0.0,24.9
2019-05-10,7.0,0.0,17.0
2019-05-11,6.2,0.52,16.8
2019-05-12,5.9,1.17,29.9
2019-05-13,6.4,0.0,25.5
2019-05-14,7.5,0.0,24.8
2019-05-15,9.6,0.0,14.3
2019-05-16,11.3,0.0,25.5
2019-05-17,10.2,0.0,21.3
2019-05-18,10.6,0.0,17.4
2019-05-19,10.8,1.05,17.1
2019-05-20,12.2,0.0,18.3
2019-05-21,13.3,0.0,19.5
2019-05-22,13.4,0.0,20.1
2019-05-23,7.2,9.95,19.5
2019-05-24,7.7,2.46,13.7
2019-05-25,8.3,4.7,16.2
2019-05-26,8.2,1.2,15.3
2019-05-27,8.8,0.57,23.5
2019-05-28,8.8,6.21,13.4
2019-05-29,8.5,0.56,29.8
2019-05-30,7.7,2.22,28.6
2019-05-31,8.9,0.02,30.5
2019-06-01,8.1,1.75,21.0
2019-06-02,11.2,0.02,20.8
2019-06-03,10.0,2.51,21.1
2019-06-04,16.5,0.04,17.3
2019-06-05,13.0,0.02,19.0
2019-06-06,14.8,0.0,18.5
2019-06-07,15.5,0.33,14.3
2019-06-08,15.5,0.22,17.2
2019-06-09,15.6,0.46,23.1
2019-06-10,15.4,0.59,15.3
2019-06-11,11.9,0.0,19.4
2019-06-12,9.5,0.02,20.6
2019-06-13,10.9,2.27,17.8
2019-06-14,11.5,18.4,15.0
2019-06-15,14.2,0.0,11.7
2019-06-16,16.4,0.11,22.7
2019-06-17,19.6,0.28,18.7
2019-06-18,18.3,0.0,21.1
2019-06-19,18.0,0.0,17.6
2019-06-20,15.7,9.63,17.0
2019-06-21,18.1,0.05,22.0
2019-06-22,14.5,3.05,30.5
2019-06-23,12.7,1.63,25.8
2019-06-24,14.5,0.0,20.8
2019-06-25,15.6,1.31,14.8
2019-06-26,14.9,1.47,22.2
2019-06-27,14.9,0.03,33.6
2019-06-28,14.4,0.0,29.0
2019-06-29,16.4,0.08,29.1
2019-06-30,12.9,1.0,21.7
2019-07-01,14.4,10.53,22.0
2019-07-02,12.6,0.05,24.9
2019-07-03,11.9,0.01,19.6
2019-07-04,9.7,0.85,13.9
2019-07-05,12.5,0.83,27.2
2019-07-06,12.9,2.79,18.3
2019-07-07,13.7,0.1,15.2
2019-07-08,13.1,0.25,28.2
2019-07-09,13.7,0.02,25.7
2019-07-10,14.9,0.0,18.8
2019-07-11,13.7,0.05,20.1
2019-07-12,13.5,1.22,19.5
2019-07-13,15.2,3.81,20.8
2019-07-14,14.4,0.45,17.7
2019-07-15,13.7,0.37,21.2
2019-07-16,13.8,14.94,35.3
2019-07-17,13.6,0.49,18.5
2019-07-18,12.9,0.03,16.3
2019-07-19,15.0,0.32,16.5
2019-07-20,16.6,0.0,19.8
2019-07-21,17.1,0.03,21.2
2019-07-22,17.2,1.23,14.2
2019-07-23,17.9,0.11,13.2
2019-07-24,20.7,0.0,12.3
2019-07-25,22.5,0.0,16.9
2019-07-26,21.6,0.0,18.4
2019-07-27,21.8,0.0,20.2
2019-07-28,19.7,0.0,25.5
2019-07-29,15.0,4.67,16.1
2019-07-30,12.0,0.39,20.1
2019-07-31,12.7,0.0,21.3
2019-08-01,13.2,0.0,18.8
2019-08-02,14.6,0.12,19.6
2019-08-03,12.5,0.62,16.6
2019-08-04,14.0,0.67,13.3
2019-08-05,14.2,0.0,16.6
2019-08-06,15.2,1.1,14.5
2019-08-07,15.0,4.47,14.4
2019-08-08,15.7,2.46,16.5
2019-08-09,16.3,0.03,17.0
2019-08-10,15.2,0.34,16.5
2019-08-11,16.7,3.52,24.8
2019-08-12,17.3,0.3,22.7
2019-08-13,15.1,1.56,16.5
2019-08-14,13.9,0.55,21.0
2019-08-15,14.0,0.0,22.1
2019-08-16,13.4,0.08,25.7
2019-08-17,16.2,0.04,26.7
2019-08-18,16.3,3.57,28.5
2019-08-19,16.3,1.53,19.9
2019-08-20,16.4,0.0,19.7
2019-08-21,14.6,3.64,15.3
2019-08-22,13.6,0.07,22.4
2019-08-23,15.0,0.1,15.3
2019-08-24,14.3,0.01,20.7
2019-08-25,16.6,0.04,23.7
2019-08-26,16.5,0.0,13.0
2019-08-27,15.9,0.0,17.3
2019-08-28,17.1,0.0,22.3
2019-08-29,16.2,8.46,20.0
2019-08-30,17.2,0.28,16.0
